                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.0877,                0.55291,                0.99555,                0.84238,                0.71656,                0.78217,                0.48211,                 1.2332,                0.56817,                 1.0469,               0.005149,               0.005149,               0.005149
                    100,                 1.0789,                0.54716,                0.99087,                0.84284,                0.71637,                0.78247,                0.48305,                 1.2329,                0.56826,                  1.047,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.0743,                0.54541,                0.98651,                 0.8391,                0.71701,                0.78138,                0.48364,                 1.2327,                0.56777,                 1.0468,                0.00505,                0.00505,                0.00505
                    102,                 1.0758,                0.54331,                0.98993,                 0.8355,                0.71961,                 0.7815,                0.48449,                 1.2323,                0.56744,                 1.0465,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.0784,                 0.5475,                0.99388,                0.83023,                 0.7266,                0.78227,                0.48526,                 1.2317,                0.56681,                 1.0466,               0.004951,               0.004951,               0.004951
                    104,                 1.0706,                0.54245,                0.98705,                0.83793,                0.71951,                0.78215,                0.48482,                 1.2311,                0.56668,                 1.0466,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.0706,                0.53952,                0.98653,                0.85041,                0.71009,                0.78208,                0.48503,                 1.2304,                0.56687,                 1.0465,               0.004852,               0.004852,               0.004852
                    106,                 1.0646,                0.53803,                0.98762,                0.85166,                0.71012,                0.78223,                0.48493,                 1.2297,                0.56641,                 1.0466,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.0611,                0.53702,                0.98602,                0.85392,                 0.7093,                0.78267,                0.48509,                 1.2299,                0.56632,                 1.0466,               0.004753,               0.004753,               0.004753
                    108,                 1.0591,                0.53653,                0.98407,                0.85815,                0.70739,                0.78368,                0.48571,                 1.2294,                0.56567,                 1.0464,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0544,                0.53471,                  0.983,                0.85078,                0.71225,                0.78325,                0.48567,                 1.2294,                0.56555,                 1.0464,               0.004654,               0.004654,               0.004654
                    110,                 1.0521,                0.53056,                0.98008,                0.85586,                0.71093,                 0.7848,                0.48676,                 1.2289,                0.56482,                 1.0462,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0492,                0.52873,                0.98075,                0.85592,                 0.7105,                0.78555,                0.48751,                 1.2286,                0.56457,                 1.0463,               0.004555,               0.004555,               0.004555
                    112,                 1.0523,                0.52883,                0.97977,                0.85717,                0.70899,                0.78601,                0.48761,                 1.2282,                0.56425,                 1.0462,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0453,                0.52719,                0.98236,                0.85622,                0.71024,                0.78706,                0.48782,                 1.2281,                0.56375,                 1.0461,               0.004456,               0.004456,               0.004456
                    114,                 1.0467,                0.52925,                0.97927,                0.85672,                0.70992,                0.78671,                0.48788,                 1.2277,                0.56323,                  1.046,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0411,                0.52387,                0.97628,                0.85329,                0.71196,                0.78656,                0.48815,                 1.2273,                0.56258,                 1.0459,               0.004357,               0.004357,               0.004357
                    116,                 1.0357,                0.52338,                 0.9751,                0.85436,                0.71305,                0.78621,                0.48848,                 1.2269,                0.56203,                  1.046,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0346,                0.51944,                0.97325,                0.85194,                0.71535,                 0.7855,                0.48833,                 1.2267,                0.56166,                  1.046,               0.004258,               0.004258,               0.004258
                    118,                 1.0336,                0.52043,                0.97494,                0.85299,                0.71536,                0.78569,                0.48875,                 1.2262,                0.56119,                 1.0458,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0332,                0.51888,                0.97281,                 0.8535,                0.71608,                0.78611,                0.48944,                 1.2256,                0.56105,                 1.0458,               0.004159,               0.004159,               0.004159
                    120,                 1.0278,                 0.5168,                0.97471,                0.85263,                0.71624,                0.78638,                0.48918,                 1.2252,                0.56076,                 1.0457,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0303,                0.51703,                0.97468,                0.85364,                0.71728,                0.78767,                0.48954,                 1.2251,                0.56063,                 1.0457,                0.00406,                0.00406,                0.00406
                    122,                 1.0278,                0.51682,                0.97453,                0.85132,                0.71902,                0.78766,                0.48959,                 1.2246,                0.56047,                 1.0457,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0206,                0.51456,                0.97265,                0.85387,                0.71852,                0.78784,                0.48954,                 1.2247,                0.56033,                 1.0458,               0.003961,               0.003961,               0.003961
                    124,                 1.0199,                0.51221,                0.96971,                0.85394,                0.71773,                0.78743,                0.48954,                 1.2242,                0.56011,                 1.0456,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0152,                0.51368,                  0.966,                0.85404,                 0.7165,                0.78777,                0.48933,                 1.2241,                0.55994,                 1.0456,               0.003862,               0.003862,               0.003862
                    126,                 1.0145,                0.50754,                0.96923,                0.85375,                0.71682,                0.78803,                0.48983,                 1.2237,                0.55938,                 1.0455,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0102,                0.50578,                0.96144,                 0.8543,                0.71612,                0.78822,                0.49019,                 1.2237,                0.55926,                 1.0454,               0.003763,               0.003763,               0.003763
                    128,                 1.0035,                0.50161,                0.96161,                0.85161,                0.71746,                0.78878,                 0.4902,                 1.2234,                0.55912,                 1.0452,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0079,                0.50594,                0.96429,                0.85111,                0.71601,                0.78773,                0.49032,                 1.2232,                 0.5588,                 1.0451,               0.003664,               0.003664,               0.003664
                    130,                 1.0053,                0.50354,                0.96194,                0.84956,                0.71676,                0.78766,                0.49116,                 1.2229,                0.55861,                  1.045,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0046,                0.50303,                0.96135,                 0.8491,                0.71785,                0.78791,                0.49134,                 1.2227,                0.55831,                 1.0449,               0.003565,               0.003565,               0.003565
                    132,                0.99717,                0.49942,                0.95799,                0.85032,                0.71734,                0.78816,                0.49175,                 1.2227,                0.55793,                 1.0449,              0.0035155,              0.0035155,              0.0035155
                    133,                0.99689,                0.49843,                0.96145,                 0.8504,                0.71793,                0.78824,                0.49187,                 1.2226,                0.55765,                 1.0448,               0.003466,               0.003466,               0.003466
                    134,                0.98939,                0.49665,                0.96134,                0.85072,                0.71877,                0.78736,                0.49182,                 1.2222,                0.55762,                 1.0448,              0.0034165,              0.0034165,              0.0034165
                    135,                0.99526,                0.49862,                0.96283,                0.84919,                0.71938,                0.78799,                0.49189,                  1.222,                0.55772,                 1.0447,               0.003367,               0.003367,               0.003367
                    136,                0.98916,                0.49383,                0.95926,                0.84876,                0.71952,                0.78835,                0.49265,                 1.2218,                0.55747,                 1.0448,              0.0033175,              0.0033175,              0.0033175
                    137,                0.98552,                0.49387,                0.95725,                0.84903,                 0.7193,                0.78839,                0.49261,                 1.2217,                0.55751,                 1.0446,               0.003268,               0.003268,               0.003268
                    138,                 0.9859,                0.49143,                0.95924,                0.84997,                  0.719,                0.78774,                0.49279,                 1.2214,                0.55728,                 1.0446,              0.0032185,              0.0032185,              0.0032185
                    139,                0.97853,                0.49042,                0.95561,                 0.8489,                0.71987,                0.78795,                0.49277,                 1.2212,                0.55701,                 1.0445,               0.003169,               0.003169,               0.003169
                    140,                0.97695,                0.49072,                  0.954,                0.84754,                0.72087,                0.78891,                0.49278,                 1.2209,                0.55701,                 1.0445,              0.0031195,              0.0031195,              0.0031195
                    141,                0.97571,                0.48885,                 0.9511,                0.84717,                0.72137,                0.78922,                0.49333,                 1.2207,                0.55711,                 1.0445,                0.00307,                0.00307,                0.00307
                    142,                0.97027,                0.48614,                0.95514,                0.85106,                0.71974,                0.78903,                0.49308,                 1.2205,                0.55692,                 1.0444,              0.0030205,              0.0030205,              0.0030205
                    143,                0.96624,                0.48384,                0.95174,                0.85006,                0.72173,                0.78928,                0.49366,                 1.2204,                0.55691,                 1.0444,               0.002971,               0.002971,               0.002971
                    144,                0.96584,                0.48438,                0.95275,                0.84789,                0.72209,                 0.7888,                0.49334,                 1.2202,                0.55664,                 1.0444,              0.0029215,              0.0029215,              0.0029215
                    145,                0.96886,                0.48091,                0.95177,                0.84758,                0.72168,                0.78893,                0.49375,                   1.22,                0.55659,                 1.0444,               0.002872,               0.002872,               0.002872
                    146,                0.96706,                0.48166,                0.95114,                0.84689,                0.72071,                0.78864,                0.49411,                 1.2198,                0.55634,                 1.0443,              0.0028225,              0.0028225,              0.0028225
                    147,                0.95715,                0.47741,                0.94556,                0.84772,                0.72092,                0.78888,                0.49393,                 1.2196,                0.55619,                 1.0443,               0.002773,               0.002773,               0.002773
                    148,                0.95956,                0.47835,                0.94659,                0.84887,                0.72044,                0.78861,                0.49418,                 1.2195,                0.55599,                 1.0444,              0.0027235,              0.0027235,              0.0027235
                    149,                0.95453,                0.47576,                 0.9451,                0.84896,                0.72053,                0.78902,                0.49431,                 1.2194,                 0.5559,                 1.0443,               0.002674,               0.002674,               0.002674
                    150,                0.94759,                 0.4718,                0.94265,                0.84916,                0.72082,                0.78879,                0.49413,                 1.2193,                0.55579,                 1.0443,              0.0026245,              0.0026245,              0.0026245
                    151,                0.94353,                0.47098,                0.94226,                0.84985,                0.72083,                0.78974,                0.49458,                 1.2192,                0.55562,                 1.0443,               0.002575,               0.002575,               0.002575
                    152,                0.94773,                0.47217,                0.94534,                0.85139,                0.72085,                0.78925,                0.49464,                  1.219,                0.55534,                 1.0443,              0.0025255,              0.0025255,              0.0025255
                    153,                0.94062,                0.46802,                 0.9421,                0.85362,                0.72022,                0.78988,                0.49473,                 1.2191,                0.55552,                 1.0444,               0.002476,               0.002476,               0.002476
                    154,                0.93874,                0.46691,                0.94162,                0.85169,                 0.7214,                0.78992,                0.49519,                  1.219,                0.55527,                 1.0443,              0.0024265,              0.0024265,              0.0024265
                    155,                0.93694,                0.46734,                0.93954,                0.85007,                0.72252,                0.79005,                0.49541,                 1.2188,                0.55503,                 1.0443,               0.002377,               0.002377,               0.002377
                    156,                0.93255,                 0.4632,                0.93925,                0.84967,                0.72255,                0.78978,                0.49535,                 1.2186,                0.55487,                 1.0442,              0.0023275,              0.0023275,              0.0023275
                    157,                0.93432,                0.46667,                 0.9397,                 0.8508,                0.72217,                0.78961,                0.49516,                 1.2183,                0.55475,                 1.0442,               0.002278,               0.002278,               0.002278
                    158,                0.92646,                0.46054,                0.93677,                0.85455,                0.71952,                0.78984,                0.49579,                 1.2181,                0.55462,                 1.0441,              0.0022285,              0.0022285,              0.0022285
                    159,                0.92962,                0.46138,                0.93867,                0.85494,                0.71809,                0.78985,                0.49587,                  1.218,                0.55454,                 1.0441,               0.002179,               0.002179,               0.002179
                    160,                0.92541,                0.45894,                 0.9375,                0.85516,                0.71919,                0.79011,                0.49603,                 1.2179,                0.55451,                  1.044,              0.0021295,              0.0021295,              0.0021295
                    161,                0.92024,                0.45689,                0.93631,                 0.8567,                0.71769,                0.79049,                0.49631,                 1.2176,                0.55448,                  1.044,                0.00208,                0.00208,                0.00208
                    162,                0.91847,                0.45561,                0.93545,                0.85744,                0.71862,                0.79074,                0.49679,                 1.2176,                0.55452,                 1.0441,              0.0020305,              0.0020305,              0.0020305
                    163,                0.91542,                0.45423,                0.93201,                0.85793,                 0.7185,                0.79063,                  0.497,                 1.2174,                0.55426,                  1.044,               0.001981,               0.001981,               0.001981
                    164,                0.91503,                0.45288,                0.93594,                0.85847,                0.71883,                0.79115,                0.49748,                 1.2173,                0.55413,                  1.044,              0.0019315,              0.0019315,              0.0019315
                    165,                0.91506,                 0.4522,                0.93331,                0.85851,                0.71951,                0.79184,                0.49767,                 1.2171,                0.55409,                 1.0439,               0.001882,               0.001882,               0.001882
                    166,                0.90664,                0.45095,                0.93021,                0.85792,                0.71975,                0.79112,                0.49708,                 1.2168,                0.55393,                 1.0438,              0.0018325,              0.0018325,              0.0018325
                    167,                0.90603,                 0.4498,                0.93187,                0.85868,                0.71982,                0.79109,                0.49761,                 1.2168,                 0.5537,                 1.0438,               0.001783,               0.001783,               0.001783
                    168,                0.90783,                0.45134,                0.93048,                0.85674,                0.72106,                0.79137,                0.49779,                 1.2166,                0.55373,                 1.0438,              0.0017335,              0.0017335,              0.0017335
                    169,                0.89994,                 0.4469,                0.93074,                0.85511,                0.72215,                0.79158,                0.49765,                 1.2167,                0.55364,                 1.0438,               0.001684,               0.001684,               0.001684
                    170,                0.89769,                0.44615,                0.92868,                0.85386,                0.72375,                0.79169,                0.49793,                 1.2165,                0.55352,                 1.0439,              0.0016345,              0.0016345,              0.0016345
                    171,                0.89509,                0.44435,                0.92908,                  0.854,                0.72387,                0.79155,                0.49777,                 1.2164,                0.55334,                 1.0439,               0.001585,               0.001585,               0.001585
                    172,                0.89393,                0.44504,                0.92892,                0.85455,                0.72361,                0.79158,                0.49759,                 1.2162,                0.55343,                 1.0439,              0.0015355,              0.0015355,              0.0015355
                    173,                 0.8954,                0.44368,                0.92534,                0.85476,                0.72374,                0.79193,                0.49782,                 1.2164,                0.55324,                 1.0439,               0.001486,               0.001486,               0.001486
                    174,                0.88631,                0.44101,                0.92592,                0.85346,                0.72376,                0.79197,                0.49788,                 1.2159,                0.55282,                 1.0438,              0.0014365,              0.0014365,              0.0014365
                    175,                0.88625,                0.43983,                0.92412,                 0.8538,                0.72367,                0.79203,                0.49778,                 1.2158,                0.55269,                 1.0437,               0.001387,               0.001387,               0.001387
                    176,                0.88344,                0.43841,                0.92504,                 0.8553,                0.72342,                0.79177,                0.49816,                 1.2156,                0.55237,                 1.0437,              0.0013375,              0.0013375,              0.0013375
                    177,                0.87658,                0.43584,                0.92365,                0.85526,                0.72395,                0.79233,                0.49822,                 1.2155,                0.55244,                 1.0437,               0.001288,               0.001288,               0.001288
                    178,                 0.8748,                0.43362,                0.91947,                0.85536,                0.72391,                0.79243,                0.49824,                 1.2153,                0.55234,                 1.0437,              0.0012385,              0.0012385,              0.0012385
                    179,                0.87534,                0.43431,                0.92374,                0.85482,                0.72499,                0.79264,                 0.4986,                  1.215,                0.55222,                 1.0437,               0.001189,               0.001189,               0.001189
                    180,                0.86856,                0.42989,                0.92147,                 0.8555,                0.72541,                 0.7925,                0.49858,                 1.2149,                0.55212,                 1.0438,              0.0011395,              0.0011395,              0.0011395
                    181,                0.87018,                0.43074,                0.91987,                0.85534,                0.72537,                0.79244,                0.49872,                 1.2147,                0.55188,                 1.0438,                0.00109,                0.00109,                0.00109
                    182,                0.86831,                0.42975,                 0.9208,                0.85483,                0.72585,                0.79312,                0.49921,                 1.2147,                0.55178,                 1.0439,              0.0010405,              0.0010405,              0.0010405
                    183,                0.86552,                0.42869,                0.91952,                0.85527,                0.72566,                0.79239,                 0.4994,                 1.2148,                0.55186,                 1.0439,               0.000991,               0.000991,               0.000991
                    184,                0.86258,                0.42649,                0.91765,                0.85506,                 0.7252,                0.79285,                0.49999,                 1.2145,                0.55174,                 1.0439,              0.0009415,              0.0009415,              0.0009415
                    185,                0.86223,                0.42686,                0.91852,                 0.8561,                0.72439,                0.79252,                0.49987,                 1.2145,                0.55169,                 1.0439,               0.000892,               0.000892,               0.000892
                    186,                0.85921,                0.42489,                0.91905,                0.85611,                0.72449,                0.79266,                0.50021,                 1.2143,                0.55155,                 1.0439,              0.0008425,              0.0008425,              0.0008425
                    187,                0.85304,                0.42201,                0.91545,                0.85631,                0.72427,                0.79282,                0.50066,                 1.2143,                0.55164,                  1.044,               0.000793,               0.000793,               0.000793
                    188,                 0.8503,                 0.4197,                0.91551,                0.85711,                 0.7237,                0.79299,                0.50052,                 1.2141,                0.55172,                  1.044,              0.0007435,              0.0007435,              0.0007435
                    189,                0.85155,                0.42217,                0.91676,                0.85706,                0.72381,                0.79347,                0.50109,                 1.2141,                0.55184,                 1.0441,               0.000694,               0.000694,               0.000694
                    190,                0.84503,                0.41869,                0.91507,                0.85726,                0.72391,                0.79385,                0.50098,                  1.214,                 0.5519,                 1.0442,              0.0006445,              0.0006445,              0.0006445
                    191,                0.84729,                0.41983,                  0.914,                0.85489,                0.72561,                0.79373,                0.50135,                 1.2141,                0.55187,                 1.0443,               0.000595,               0.000595,               0.000595
                    192,                0.83997,                0.41538,                0.91252,                0.85624,                0.72444,                 0.7942,                0.50181,                 1.2139,                0.55182,                 1.0444,              0.0005455,              0.0005455,              0.0005455
                    193,                0.84342,                0.41676,                 0.9143,                 0.8547,                0.72561,                0.79391,                0.50174,                 1.2139,                0.55174,                 1.0446,               0.000496,               0.000496,               0.000496
                    194,                 0.8403,                0.41634,                0.91107,                0.85413,                0.72578,                0.79371,                 0.5019,                 1.2139,                0.55193,                 1.0447,              0.0004465,              0.0004465,              0.0004465
                    195,                0.83296,                0.41149,                0.91144,                0.85468,                0.72607,                0.79443,                0.50233,                 1.2139,                 0.5521,                 1.0447,               0.000397,               0.000397,               0.000397
                    196,                0.83027,                0.41123,                0.91078,                 0.8533,                0.72686,                0.79396,                0.50225,                 1.2139,                0.55214,                 1.0449,              0.0003475,              0.0003475,              0.0003475
                    197,                0.83191,                 0.4115,                0.91102,                0.85135,                0.72786,                0.79399,                0.50235,                 1.2138,                0.55226,                 1.0451,               0.000298,               0.000298,               0.000298
                    198,                0.82593,                0.40789,                0.90897,                0.85003,                0.72896,                0.79408,                0.50267,                 1.2138,                0.55208,                 1.0452,              0.0002485,              0.0002485,              0.0002485
                    199,                0.82694,                0.40985,                0.90866,                 0.8494,                0.72794,                 0.7943,                0.50247,                 1.2135,                0.55207,                 1.0453,               0.000199,               0.000199,               0.000199
